category,image,link,price,product_code,product_name
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_62222_pc_gaming_hacom_pro_013_2022.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-pro-013-r5,38999000,PCGM422,PC GAMING HACOM PRO 013 (R5 5600X/X570/16GB RAM/250GB SSD/RX 6600 XT/750W)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_64526_pc_gaming_hacom_36.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-036-r5,17299000,PCGM457,PC GAMING HACOM 036 (R5 3500/B450/8GB RAM/256GB SSD/RX 6500 XT/600W)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_62723_pc_gaming_hacom_028.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-028,15699000,PCGM434,PC GAMING HACOM 028 (I3 10105/H510/8GB RAM/240GB SSD/GTX 1650/550W)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_64527_pc_gaming_hacom_37.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-037-i3,15399000,PCGM458,PC GAMING HACOM 037 (I3 12100F/H610/8GB RAM/500GB SSD/GTX 1050TI/500W)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_64528_pc_gaming_hacom_pro_029.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-pro-029-i5,21799000,PCGM459,PC GAMING HACOM PRO 029 (I5 11400F/B560/8GB RAM/256GB SSD/GTX 1660 SUPER/600W)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_63501_pcgm_update.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-031-i3-10105f,15899000,PCGM441,PC GAMING HACOM 031 (I3 10105F/H510/8GB RAM/500GB SSD/GTX 1650/700W)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_64529_pc_gaming_hacom_pro_030.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-pro-030-i7,50499000,PCGM460,PC GAMING HACOM PRO 030 (I7 12700F/Z690/32GB RAM/500GB SSD/RTX 3070TI/850W)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_64530_pc_gaming_hacom_38.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-038-i3,12899000,PCGM461,PC GAMING HACOM 038 (I3 10105F/H510/8GB RAM/240GB SSD/GTX 1050TI/500W)
"PC Gaming, Streaming",,https://www.hanoicomputer.vn/pc-gaming-hacom-039-i3,12499000,PCGM462,PC GAMING HACOM 039 (I3 10105F/H510/8GB RAM/240GB SSD/GTX 1050TI/450W)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_61455_pc_lenovo_ideacentre_g5.jpg,https://www.hanoicomputer.vn/pc-lenovo-ideacentre-g5-14imb05-i5-10400-8gb-ram-256gb-ssd-gtx1660-super-wl-bt-no-os-90n900h8vm,20999000,PCLE240,PC Lenovo IdeaCentre G5 14IMB05 (i5-10400/8GB RAM/256GB SSD/GTX1660 Super/WL+BT/No OS) (90N900H8VM)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_64015_pc_gaming_hacom_pro_026.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-pro-026-i5,32699000,PCGM449,PC GAMING HACOM PRO 026 (I5 12400F/B660/16GB RAM/500GB SSD/RTX 3060/750W)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_62278_pc_gaming_hacom_025.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-025-i3,13799000,PCGM424,PC GAMING HACOM 025 (i3 10105F/H510/8GB RAM/240GB SSD/GTX 1050TI/550W)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_64227_pc_gaming_hacom_34.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-034,13699000,PCGM452,PC GAMING HACOM 034 (I3 10105F/H510/8GB RAM/500GB SSD/GTX 1050TI/450W)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_64275_pc_gaming_hacom_pro_028.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-pro-028-i5-11400f-b560-8gb-ram-250gb-ssd-rtx-3050-650w,23199000,PCGM453,PC GAMING HACOM PRO 028 (I5 11400F/B560/8GB RAM/250GB SSD/RTX 3050/650W)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_64340_pc_gaming_hacom_35.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-035-i3,16499000,PCGM454,PC GAMING HACOM 035 (I3 12100F/H610/8GB RAM/500GB SSD/RX 6500 XT/500W)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_64341_pc_gaming_hacom_amd_pro.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-amd-pro-r5-pro-4650g-b550-8gb-ram-500gb-ssd-radeon-vega-7-600w,12799000,PCGM455,PC GAMING HACOM AMD PRO (R5 PRO 4650G/B550/8GB RAM/500GB SSD/RADEON™VEGA 7/600W)
"PC Đồ Họa, Render, Máy Chủ",https://hanoicomputercdn.com/media/product/250_41697_nvidia_quadro_p620_2gb_gddr5_01.jpg,https://www.hanoicomputer.vn/vga-card-nvidia-quadro-p620-2gb-gddr5,4299000,VGLE041,VGA Card nVidia Quadro P620 2GB GDDR5
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_62222_pc_gaming_hacom_pro_013_2022.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-pro-013-r5,38999000,PCGM422,PC GAMING HACOM PRO 013 (R5 5600X/X570/16GB RAM/250GB SSD/RX 6600 XT/750W)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_59612_pc_gaming_hacom_005_hn.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-005-r3,7169000,PCGM372,PC GAMING HACOM 005 (R3 3200G/A320/4GB RAM/120GB SSD/500W)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_62610_pc_gaming_hacom_pro_017.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-pro-017-i5,19999000,PCGM430,PC GAMING HACOM PRO 017 (i5 11400F/B560/8GB RAM/500GB SSD/GTX 1650/700W)
